,,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA,xG+xA,npxG,npxG+xA,Matches
322,Jakub Jankto\Jakub-Jankto,cz CZE,MF,Sampdoria,it Serie A,23,1996,19,15,1278,2,2,0,0,4,0,0.14,0.14,0.28,0.14,0.28,1.8,1.8,2.6,0.12,0.19,0.31,0.12,0.31,Matches
323,Weston McKennie\Weston-McKennie,us USA,MFDF,Schalke 04,de Bundesliga,20,1998,24,20,1714,2,0,0,0,5,0,0.11,0.00,0.11,0.11,0.11,2.3,2.3,1.7,0.12,0.09,0.21,0.12,0.21,Matches
324,Luka Modrić\Luka-Modric,hr CRO,MF,Real Madrid,es La Liga,33,1985,22,14,1356,3,4,0,0,3,1,0.20,0.27,0.46,0.20,0.46,1.8,1.8,2.2,0.12,0.15,0.27,0.12,0.27,Matches
325,Radja Nainggolan\Radja-Nainggolan,be BEL,MFFW,Cagliari,it Serie A,31,1988,21,20,1738,5,6,0,0,5,0,0.26,0.31,0.57,0.26,0.57,2.3,2.3,5.1,0.12,0.26,0.39,0.12,0.39,Matches
326,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,eng Premier League,32,1987,26,26,2138,4,1,3,3,4,0,0.17,0.04,0.21,0.04,0.08,2.9,0.6,1.3,0.12,0.06,0.18,0.02,0.08,Matches
327,Romain Philippoteaux\Romain-Philippoteaux,fr FRA,FWMF,Nîmes,fr Ligue 1,31,1988,27,23,1994,5,2,0,0,3,0,0.23,0.09,0.32,0.23,0.32,2.6,2.6,1.4,0.12,0.06,0.18,0.12,0.18,Matches
328,Kai Pröger\Kai-Proger,de GER,MFFW,Paderborn 07,de Bundesliga,27,1992,27,21,1947,2,6,0,0,0,0,0.09,0.28,0.37,0.09,0.37,2.6,2.6,3.7,0.12,0.17,0.29,0.12,0.29,Matches
329,Renato Sanches\Renato-Sanches,pt POR,MFFW,Lille,fr Ligue 1,21,1997,19,16,1483,3,1,0,0,3,0,0.18,0.06,0.24,0.18,0.24,1.9,1.7,2.7,0.12,0.17,0.28,0.10,0.27,Matches
330,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,27,1992,17,16,1340,5,0,0,0,2,0,0.34,0.00,0.34,0.34,0.34,1.8,1.8,2.4,0.12,0.16,0.28,0.12,0.28,Matches
331,Robert Skov\Robert-Skov,dk DEN,DFFW,Hoffenheim,de Bundesliga,23,1996,26,25,2231,4,5,0,0,3,0,0.16,0.20,0.36,0.16,0.36,3.0,3.0,4.4,0.12,0.18,0.30,0.12,0.30,Matches
332,Abdoulaye Touré\Abdoulaye-Toure,fr FRA,MF,Nantes,fr Ligue 1,25,1994,27,24,2221,3,0,2,2,3,0,0.12,0.00,0.12,0.04,0.04,3.0,1.4,0.8,0.12,0.03,0.15,0.06,0.09,Matches
333,Cristian Battocchio\Cristian-Battocchio,it ITA,MF,Brest,fr Ligue 1,27,1992,24,16,1392,3,1,0,1,1,0,0.19,0.06,0.26,0.19,0.26,1.7,1.0,1.2,0.11,0.08,0.19,0.06,0.14,Matches
334,Dimitri Bisoli\Dimitri-Bisoli,it ITA,MF,Brescia,it Serie A,25,1994,25,24,2152,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,2.7,2.7,2.9,0.11,0.12,0.23,0.11,0.23,Matches
335,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MF,Mainz 05,de Bundesliga,25,1994,25,24,2060,3,5,0,0,4,0,0.13,0.22,0.35,0.13,0.35,2.4,2.4,3.2,0.11,0.14,0.25,0.11,0.25,Matches
336,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,25,1994,25,21,1903,2,2,0,0,5,0,0.09,0.09,0.19,0.09,0.19,2.3,2.3,2.2,0.11,0.10,0.21,0.11,0.21,Matches
337,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,fr Ligue 1,32,1987,24,20,1747,1,2,0,0,7,0,0.05,0.10,0.15,0.05,0.15,2.2,2.2,1.6,0.11,0.08,0.19,0.11,0.19,Matches
338,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,21,1998,21,15,1371,1,0,0,0,7,0,0.07,0.00,0.07,0.07,0.07,1.7,1.7,0.3,0.11,0.02,0.13,0.11,0.13,Matches
339,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Torino,it Serie A,31,1988,19,18,1543,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.8,0.11,0.05,0.15,0.11,0.15,Matches
340,Espeto\Espeto,br BRA,DF,SPAL,it Serie A,22,1997,20,16,1401,1,2,0,0,7,1,0.06,0.13,0.19,0.06,0.19,1.8,1.8,1.0,0.11,0.06,0.18,0.11,0.18,Matches
341,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,it Serie A,24,1995,21,16,1458,1,4,0,0,2,0,0.06,0.25,0.31,0.06,0.31,1.7,1.7,2.4,0.11,0.15,0.26,0.11,0.26,Matches
342,Pascal Groß\Pascal-Gross,de GER,MFFW,Brighton,eng Premier League,28,1991,23,18,1488,2,4,0,0,2,0,0.12,0.24,0.36,0.12,0.36,1.8,1.8,4.9,0.11,0.30,0.41,0.11,0.41,Matches
343,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,es La Liga,26,1993,24,15,1383,3,2,0,0,1,1,0.20,0.13,0.33,0.20,0.33,1.7,1.7,2.0,0.11,0.13,0.24,0.11,0.24,Matches
344,Abdoul Kader Bamba\Abdoul-Kader-Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,25,1994,27,16,1468,1,3,0,0,5,0,0.06,0.18,0.25,0.06,0.25,1.9,1.9,4.7,0.11,0.29,0.40,0.11,0.40,Matches
345,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,22,1996,23,21,1845,1,1,1,1,3,0,0.05,0.05,0.10,0.00,0.05,2.3,1.5,1.6,0.11,0.08,0.19,0.07,0.15,Matches
346,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,es La Liga,29,1990,24,23,1873,3,5,0,0,1,0,0.14,0.24,0.38,0.14,0.38,2.4,2.4,3.7,0.11,0.18,0.29,0.11,0.29,Matches
347,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,26,18,1719,3,2,0,0,4,0,0.16,0.10,0.26,0.16,0.26,2.1,2.1,0.8,0.11,0.04,0.15,0.11,0.15,Matches
348,Marquinhos\Marquinhos,br BRA,MFDF,Paris S-G,fr Ligue 1,25,1994,19,15,1476,3,1,0,0,1,0,0.18,0.06,0.24,0.18,0.24,1.8,1.8,0.6,0.11,0.03,0.14,0.11,0.14,Matches
349,Yerry Mina\Yerry-Mina,co COL,DF,Everton,eng Premier League,24,1994,25,23,2086,2,1,0,0,3,0,0.09,0.04,0.13,0.09,0.13,2.6,2.6,0.2,0.11,0.01,0.12,0.11,0.12,Matches
350,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,eng Premier League,28,1990,22,20,1653,2,1,0,0,2,1,0.11,0.05,0.16,0.11,0.16,1.9,1.9,2.8,0.11,0.15,0.26,0.11,0.26,Matches
351,Levin Öztunalı\Levin-Oztunali,de GER,MFFW,Mainz 05,de Bundesliga,23,1996,22,17,1537,4,3,0,0,1,0,0.23,0.18,0.41,0.23,0.41,1.9,1.9,2.0,0.11,0.12,0.23,0.11,0.23,Matches
352,Andrea Poli\Andrea-Poli,it ITA,MF,Bologna,it Serie A,29,1989,23,20,1719,2,0,0,0,5,0,0.10,0.00,0.10,0.10,0.10,2.0,2.0,1.5,0.11,0.08,0.18,0.11,0.18,Matches
353,Arkadiusz Reca\Arkadiusz-Reca,pl POL,DF,SPAL,it Serie A,24,1995,18,18,1505,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,1.8,1.8,1.5,0.11,0.09,0.20,0.11,0.20,Matches
354,Rômulo\Romulo,it ITA,MF,Brescia,it Serie A,32,1987,20,19,1679,1,3,0,0,3,0,0.05,0.16,0.21,0.05,0.21,2.1,2.1,1.2,0.11,0.07,0.18,0.11,0.18,Matches
355,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,eng Premier League,29,1989,20,19,1689,2,1,0,0,6,0,0.11,0.05,0.16,0.11,0.16,2.0,2.0,1.0,0.11,0.05,0.16,0.11,0.16,Matches
356,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,de Bundesliga,23,1996,18,17,1446,1,3,0,0,2,0,0.06,0.19,0.25,0.06,0.25,1.7,1.7,1.9,0.11,0.12,0.22,0.11,0.22,Matches
357,Aleix Vidal\Aleix-Vidal,es ESP,MF,Alavés,es La Liga,29,1989,25,23,1987,2,4,0,0,6,0,0.09,0.18,0.27,0.09,0.27,2.4,2.4,3.8,0.11,0.17,0.28,0.11,0.28,Matches
358,Piotr Zieliński\Piotr-Zielinski,pl POL,MF,Napoli,it Serie A,25,1994,26,23,2154,2,3,0,0,4,0,0.08,0.13,0.21,0.08,0.21,2.7,2.7,2.0,0.11,0.08,0.20,0.11,0.20,Matches
359,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,23,23,2014,2,1,0,0,1,0,0.09,0.04,0.13,0.09,0.13,2.3,2.3,0.6,0.10,0.03,0.13,0.10,0.13,Matches
360,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,1994,20,20,1719,1,2,0,0,4,1,0.05,0.10,0.16,0.05,0.16,2.0,2.0,0.9,0.10,0.05,0.15,0.10,0.15,Matches
361,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,29,1990,24,20,1597,1,4,1,1,0,0,0.06,0.23,0.28,0.00,0.23,1.7,1.0,3.2,0.10,0.18,0.28,0.06,0.24,Matches
362,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,es La Liga,27,1992,21,19,1678,0,1,0,0,7,0,0.00,0.05,0.05,0.00,0.05,1.8,1.8,1.0,0.10,0.05,0.15,0.10,0.15,Matches
363,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,21,13,1387,2,3,1,1,3,0,0.13,0.19,0.32,0.06,0.26,1.6,0.8,3.0,0.10,0.19,0.30,0.05,0.25,Matches
364,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFFW,Schalke 04,de Bundesliga,31,1988,24,22,1935,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,2.2,2.2,3.4,0.10,0.16,0.26,0.10,0.26,Matches
365,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,27,1992,25,25,2219,3,2,0,0,9,0,0.12,0.08,0.20,0.12,0.20,2.4,2.4,0.2,0.10,0.01,0.11,0.10,0.11,Matches
366,Jhon Chancellor\Jhon-Chancellor,ve VEN,DF,Brescia,it Serie A,27,1992,23,23,2019,3,0,0,0,3,0,0.13,0.00,0.13,0.13,0.13,2.2,2.2,0.0,0.10,0.00,0.10,0.10,0.10,Matches
367,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,25,21,1953,3,5,0,0,2,0,0.14,0.23,0.37,0.14,0.37,2.1,2.1,3.6,0.10,0.17,0.26,0.10,0.26,Matches
368,Alexander Djiku\Alexander-Djiku,fr FRA,DFMF,Strasbourg,fr Ligue 1,24,1994,25,23,2064,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,2.4,2.4,0.4,0.10,0.02,0.12,0.10,0.12,Matches
369,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,20,15,1409,0,1,0,0,7,1,0.00,0.06,0.06,0.00,0.06,1.5,1.5,0.6,0.10,0.04,0.14,0.10,0.14,Matches
370,Manu García\Manu-Garcia,es ESP,MF,Alavés,es La Liga,33,1986,25,20,1766,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,2.1,2.1,0.1,0.10,0.01,0.11,0.10,0.11,Matches
371,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,de Bundesliga,33,1985,27,25,2110,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,2.3,2.3,1.5,0.10,0.06,0.16,0.10,0.16,Matches
372,Theo Hernández\Theo-Hernandez,fr FRA,DF,Milan,it Serie A,21,1997,22,21,1909,5,2,0,0,8,0,0.24,0.09,0.33,0.24,0.33,2.1,2.1,3.0,0.10,0.14,0.24,0.10,0.24,Matches
373,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,de Bundesliga,29,1990,27,26,2350,1,0,0,0,7,0,0.04,0.00,0.04,0.04,0.04,2.5,2.5,0.4,0.10,0.02,0.11,0.10,0.11,Matches
374,Ismail Jakobs\Ismail-Jakobs,de GER,FWDF,Köln,de Bundesliga,19,1999,17,17,1418,2,1,0,0,4,0,0.13,0.06,0.19,0.13,0.19,1.6,1.6,0.8,0.10,0.05,0.15,0.10,0.15,Matches
375,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,28,1991,18,16,1385,3,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,1.5,1.5,2.0,0.10,0.13,0.23,0.10,0.23,Matches
376,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,32,1986,23,18,1452,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,1.7,1.7,2.7,0.10,0.17,0.27,0.10,0.27,Matches
377,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,22,16,1489,2,3,0,0,3,0,0.12,0.18,0.30,0.12,0.30,1.7,1.7,2.8,0.10,0.17,0.27,0.10,0.27,Matches
378,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,19,1999,20,17,1653,2,0,0,0,4,0,0.11,0.00,0.11,0.11,0.11,1.8,1.8,0.1,0.10,0.00,0.10,0.10,0.10,Matches
379,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,21,21,1890,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,2.0,2.0,1.2,0.10,0.06,0.15,0.10,0.15,Matches
380,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,eng Premier League,28,1991,23,22,1986,2,1,2,2,9,0,0.09,0.05,0.14,0.00,0.05,2.1,0.6,1.9,0.10,0.09,0.18,0.03,0.11,Matches
381,Marko Rog\Marko-Rog,hr CRO,MF,Cagliari,it Serie A,24,1995,19,17,1425,1,0,0,0,6,0,0.06,0.00,0.06,0.06,0.06,1.6,1.6,1.0,0.10,0.06,0.16,0.10,0.16,Matches
382,Cristian Romero\Cristian-Romero,ar ARG,DF,Genoa,it Serie A,21,1998,21,21,1869,0,1,1,1,10,0,0.00,0.05,0.05,-0.05,0.00,2.0,1.2,0.4,0.10,0.02,0.11,0.06,0.08,Matches
383,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,eng Premier League,29,1990,25,23,1985,2,1,0,0,10,1,0.09,0.05,0.14,0.09,0.14,2.3,2.3,0.5,0.10,0.02,0.13,0.10,0.13,Matches
384,Jonathan Schmid\Jonathan-Schmid,fr FRA,DF,Freiburg,de Bundesliga,29,1990,28,27,2443,4,1,0,0,1,0,0.15,0.04,0.18,0.15,0.18,2.8,2.8,2.5,0.10,0.09,0.20,0.10,0.20,Matches
385,Lasse Schöne\Lasse-Schone,dk DEN,MF,Genoa,it Serie A,33,1986,22,21,1717,1,2,0,1,4,0,0.05,0.10,0.16,0.05,0.16,1.9,1.1,2.0,0.10,0.11,0.21,0.06,0.17,Matches
386,Kevin Strootman\Kevin-Strootman,nl NED,MF,Marseille,fr Ligue 1,29,1990,25,15,1416,2,3,1,1,7,0,0.13,0.19,0.32,0.06,0.25,1.6,0.8,0.9,0.10,0.06,0.15,0.05,0.11,Matches
387,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,eng Premier League,22,1997,28,24,2152,3,5,0,0,1,0,0.13,0.21,0.33,0.13,0.33,2.4,2.4,4.2,0.10,0.17,0.27,0.10,0.27,Matches
388,Rafael Tolói\Rafael-Toloi,br BRA,DF,Atalanta,it Serie A,28,1990,22,20,1832,1,5,0,0,5,0,0.05,0.25,0.29,0.05,0.29,1.9,1.9,1.8,0.10,0.09,0.18,0.10,0.18,Matches
389,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,eng Premier League,23,1996,24,15,1373,1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,1.6,1.6,1.1,0.10,0.07,0.17,0.10,0.17,Matches
390,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,eng Premier League,23,1996,28,22,2072,4,7,0,0,0,0,0.17,0.30,0.48,0.17,0.48,2.3,2.3,5.7,0.10,0.25,0.35,0.10,0.35,Matches
391,Jordan Veretout\Jordan-Veretout,fr FRA,MF,Roma,it Serie A,26,1993,24,22,1914,2,0,2,2,4,0,0.09,0.00,0.09,0.00,0.00,2.1,0.6,1.7,0.10,0.08,0.18,0.03,0.11,Matches
392,William\William,br BRA,DF,Wolfsburg,de Bundesliga,24,1995,16,16,1364,1,1,0,0,0,0,0.07,0.07,0.13,0.07,0.13,1.5,1.5,1.6,0.10,0.11,0.21,0.10,0.21,Matches
393,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,22,22,1892,3,0,1,1,0,0,0.14,0.00,0.14,0.10,0.10,1.8,1.0,1.8,0.09,0.08,0.17,0.05,0.13,Matches
394,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,26,26,2281,2,3,0,0,10,0,0.08,0.12,0.20,0.08,0.20,2.2,2.2,2.3,0.09,0.09,0.18,0.09,0.18,Matches
395,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,27,27,2419,2,3,0,0,0,0,0.07,0.11,0.19,0.07,0.19,2.3,2.3,4.5,0.09,0.17,0.25,0.09,0.25,Matches
396,Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,19,17,1369,1,0,0,0,3,1,0.07,0.00,0.07,0.07,0.07,1.3,1.3,0.8,0.09,0.05,0.14,0.09,0.14,Matches
397,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,31,1988,22,16,1470,2,1,0,0,3,0,0.12,0.06,0.18,0.12,0.18,1.4,1.4,1.2,0.09,0.08,0.16,0.09,0.16,Matches
398,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,it Serie A,32,1987,25,25,2222,3,0,0,0,5,0,0.12,0.00,0.12,0.12,0.12,2.2,2.2,0.4,0.09,0.02,0.11,0.09,0.11,Matches
399,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,eng Premier League,22,1996,28,22,2017,0,7,0,0,4,0,0.00,0.31,0.31,0.00,0.31,2.0,2.0,6.9,0.09,0.31,0.40,0.09,0.40,Matches
400,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,17,15,1293,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,0.09,0.04,0.12,0.09,0.12,Matches
401,Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,it Serie A,32,1987,20,20,1747,1,0,0,0,6,0,0.05,0.00,0.05,0.05,0.05,1.8,1.8,0.4,0.09,0.02,0.11,0.09,0.11,Matches
402,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,26,1993,26,26,2304,2,5,0,0,4,1,0.08,0.20,0.27,0.08,0.27,2.2,2.2,3.9,0.09,0.15,0.24,0.09,0.24,Matches
403,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,27,1992,22,22,1980,1,5,0,0,8,0,0.05,0.23,0.27,0.05,0.27,2.1,2.1,3.7,0.09,0.17,0.26,0.09,0.26,Matches
404,Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,it Serie A,22,1997,24,24,2012,3,2,0,0,8,0,0.13,0.09,0.22,0.13,0.22,2.0,2.0,2.2,0.09,0.10,0.19,0.09,0.19,Matches
405,Sergi Darder\Sergi-Darder,es ESP,MFFW,Espanyol,es La Liga,25,1993,26,24,2110,2,1,0,0,2,0,0.09,0.04,0.13,0.09,0.13,2.2,2.2,2.0,0.09,0.09,0.18,0.09,0.18,Matches
406,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,25,25,2250,2,3,0,0,3,0,0.08,0.12,0.20,0.08,0.20,2.2,2.2,2.2,0.09,0.09,0.18,0.09,0.18,Matches
407,Maximilian Eggestein\Maximilian-Eggestein,de GER,MFDF,Werder Bremen,de Bundesliga,22,1996,27,27,2405,0,2,0,0,5,0,0.00,0.07,0.07,0.00,0.07,2.4,2.4,1.8,0.09,0.07,0.15,0.09,0.15,Matches
408,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,18,18,1620,2,0,0,0,4,0,0.11,0.00,0.11,0.11,0.11,1.5,1.5,0.3,0.09,0.02,0.10,0.09,0.10,Matches
409,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,27,1992,20,17,1449,2,2,0,0,2,0,0.12,0.12,0.25,0.12,0.25,1.5,1.5,2.2,0.09,0.14,0.23,0.09,0.23,Matches
410,Klaus Gjasula\Klaus-Gjasula,al ALB,MF,Paderborn 07,de Bundesliga,29,1989,25,24,1962,2,1,0,1,15,0,0.09,0.05,0.14,0.09,0.14,1.9,1.1,1.2,0.09,0.06,0.14,0.05,0.11,Matches
411,Marcel Halstenberg\Marcel-Halstenberg,de GER,DF,RB Leipzig,de Bundesliga,27,1991,24,24,2115,3,2,0,0,6,1,0.13,0.09,0.21,0.13,0.21,2.2,2.2,2.9,0.09,0.12,0.22,0.09,0.22,Matches
412,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,es La Liga,21,1998,20,18,1574,2,2,0,0,9,0,0.11,0.11,0.23,0.11,0.23,1.7,1.7,0.9,0.09,0.05,0.14,0.09,0.14,Matches
413,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,es La Liga,25,1994,23,18,1533,2,2,0,0,4,0,0.12,0.12,0.23,0.12,0.23,1.4,1.4,2.4,0.09,0.14,0.23,0.09,0.23,Matches
414,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,de Bundesliga,19,2000,21,16,1372,3,1,0,0,3,0,0.20,0.07,0.26,0.20,0.26,1.4,1.4,0.1,0.09,0.00,0.10,0.09,0.10,Matches
415,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DFMF,Hoffenheim,de Bundesliga,27,1992,25,24,2085,2,4,0,0,2,0,0.09,0.17,0.26,0.09,0.26,2.0,2.0,2.8,0.09,0.12,0.21,0.09,0.21,Matches
416,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,23,1996,27,27,2328,3,1,0,0,0,0,0.12,0.04,0.15,0.12,0.15,2.4,2.4,1.7,0.09,0.07,0.16,0.09,0.16,Matches
417,Robin Koch\Robin-Koch,de GER,DFMF,Freiburg,de Bundesliga,23,1996,28,28,2441,1,0,0,0,2,0,0.04,0.00,0.04,0.04,0.04,2.3,2.3,1.6,0.09,0.06,0.14,0.09,0.14,Matches
418,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,es La Liga,20,1998,19,15,1409,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,1.3,1.3,0.5,0.09,0.04,0.12,0.09,0.12,Matches
419,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Mallorca,es La Liga,18,2001,24,13,1438,3,2,0,0,2,0,0.19,0.13,0.31,0.19,0.31,1.4,1.4,1.9,0.09,0.12,0.21,0.09,0.21,Matches
420,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,2000,18,18,1456,1,0,0,0,6,1,0.06,0.00,0.06,0.06,0.06,1.5,1.5,0.0,0.09,0.00,0.09,0.09,0.09,Matches
421,Imran Louza\Imran-Louza,fr FRA,MFFW,Nantes,fr Ligue 1,20,1999,24,22,2009,2,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,1.9,1.9,4.2,0.09,0.19,0.27,0.09,0.27,Matches
422,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,24,1995,25,24,2112,2,0,0,0,5,0,0.09,0.00,0.09,0.09,0.09,2.2,2.2,0.4,0.09,0.02,0.11,0.09,0.11,Matches
423,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,32,1987,24,21,1871,2,2,0,0,0,0,0.10,0.10,0.19,0.10,0.19,1.8,1.8,3.8,0.09,0.18,0.27,0.09,0.27,Matches
424,Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,es La Liga,23,1996,26,25,2248,3,1,0,0,5,0,0.12,0.04,0.16,0.12,0.16,2.3,2.3,1.8,0.09,0.07,0.16,0.09,0.16,Matches
425,Nikola Milenković\Nikola-Milenkovic,rs SRB,DF,Fiorentina,it Serie A,21,1997,25,25,2250,3,0,0,0,5,0,0.12,0.00,0.12,0.12,0.12,2.1,2.1,0.1,0.09,0.00,0.09,0.09,0.09,Matches
426,Nacho Monreal\Nacho-Monreal,es ESP,DF,Real Sociedad,es La Liga,33,1986,20,20,1755,2,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,0.7,0.09,0.04,0.13,0.09,0.13,Matches
427,Álex Moreno\Alex-Moreno,es ESP,DF,Betis,es La Liga,26,1993,23,20,1792,0,4,0,0,3,0,0.00,0.20,0.20,0.00,0.20,1.9,1.9,1.5,0.09,0.08,0.17,0.09,0.17,Matches
428,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,de Bundesliga,21,1997,21,17,1423,3,1,0,0,0,0,0.19,0.06,0.25,0.19,0.25,1.5,1.5,1.2,0.09,0.07,0.17,0.09,0.17,Matches
429,Saúl Ñíguez\Saul-Niguez,es ESP,MFDF,Atlético Madrid,es La Liga,24,1994,26,26,2340,3,0,0,0,6,0,0.12,0.00,0.12,0.12,0.12,2.4,2.4,1.4,0.09,0.05,0.15,0.09,0.15,Matches
430,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,eng Premier League,30,1988,18,18,1438,1,2,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.4,1.4,2.3,0.09,0.14,0.23,0.09,0.23,Matches
431,Germán Pezzella\German-Pezzella,ar ARG,DF,Fiorentina,it Serie A,28,1991,23,23,1975,2,0,0,0,9,0,0.09,0.00,0.09,0.09,0.09,1.9,1.9,0.3,0.09,0.02,0.10,0.09,0.10,Matches
432,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,de Bundesliga,22,1997,23,22,1864,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.8,0.09,0.04,0.13,0.09,0.13,Matches
